[0] 5-0-1-5-0-5-0-0-0-0
[50] 0-0-1-28-23-5-0-6-0-0
[51] 5-2-1-14-19-0-0-4-2-0
[52] 5-0-3-21-15-2-0-9-0-0
[53] 0-0-0-26-14-3-0-8-0-0
[54] 0-1-1-26-22-2-0-12-0-0
[55] 6-2-3-22-24-8-0-1-0-0
[56] 4-3-1-4-5-3-0-0-0-0
[57] 3-3-0-24-6-10-0-5-0-0
[58] 6-3-1-22-22-3-0-9-0-0
[59] 3-3-0-27-22-9-0-0-0-0
[60] 6-3-0-5-4-1-0-9-0-0
[61] 4-2-3-17-10-5-0-9-0-0
[62] 4-0-0-6-15-2-0-15-0-0
[63] 0-0-3-9-7-2-0-16-0-0
[64] 3-2-0-43-20-6-0-14-0-0
[65] 0-0-3-46-19-0-0-14-2-0
[66] 6-0-3-28-8-11-0-4-0-0
[67] 5-2-1-19-4-3-0-0-0-0
[68] 3-3-3-21-10-9-0-10-0-0
[69] 6-0-3-29-8-1-0-13-0-0
[70] 4-3-1-14-9-10-0-10-0-0
[71] 6-2-1-3-18-0-0-8-1-0
[72] 3-1-1-39-19-0-0-15-2-0
[73] 3-1-1-28-21-6-0-1-0-0
[74] 4-1-0-30-8-3-0-15-0-0
[75] 5-2-3-2-1-10-0-0-0-0
[76] 5-0-3-17-16-2-0-2-0-0
[77] 0-1-3-34-6-8-0-11-0-0
[78] 4-2-1-16-23-8-1-0-0-0
[79] 3-2-3-21-3-8-0-6-0-0
[80] 3-0-1-23-27-10-0-3-0-0
[81] 0-2-0-0-8-8-0-10-0-0
[82] 3-0-1-44-19-0-0-11-2-0
[83] 5-2-0-2-17-3-0-5-0-0
[84] 3-3-1-18-0-5-0-6-0-0
[85] 4-1-1-22-3-6-0-6-0-0
[86] 5-3-1-29-28-9-0-3-0-0
[87] 3-0-3-19-13-7-0-10-0-0
[88] 3-0-3-25-5-5-0-7-0-0
[89] 5-2-1-27-22-6-0-7-0-0
[90] 0-0-1-11-5-1-0-12-0-0
[91] 3-0-0-25-21-11-0-14-0-0
[92] 0-3-0-37-17-5-0-4-0-0
[93] 3-3-3-20-24-8-0-3-0-0
[94] 0-0-3-4-20-10-0-2-0-0
[95] 0-0-3-4-5-6-0-7-0-0
[96] 3-2-0-34-21-2-0-6-0-0
[97] 4-0-0-16-2-6-0-0-0-0
[98] 6-0-3-42-3-7-0-0-0-0
[99] 4-0-0-17-0-2-0-0-0-2
[100] 0-0-1-26-2-6-0-9-0-0
[101] 5-0-1-5-23-1-0-15-0-0
[102] 3-2-1-23-7-3-0-11-0-0
[103] 5-1-3-6-19-0-0-14-2-0
[104] 6-0-1-4-10-2-0-6-0-0
[105] 6-2-0-7-9-10-0-7-0-0
[106] 3-3-1-14-9-8-0-12-0-0
[107] 6-0-3-7-8-2-0-14-0-0
[108] 0-3-1-15-15-10-0-20-0-0
[109] 5-0-1-7-13-6-0-5-0-0
[110] 3-3-3-29-11-5-0-2-0-0
[111] 3-0-1-19-22-8-0-14-0-0
[112] 4-2-3-20-8-1-0-8-0-0
[113] 6-2-1-7-3-5-0-0-0-0
[114] 6-3-3-37-28-2-0-7-0-0
[115] 5-3-1-8-0-2-0-12-0-0
[116] 6-2-0-0-13-3-0-9-0-0
[117] 4-0-1-17-27-3-0-20-0-0
[118] 4-0-3-9-27-11-0-2-0-0
[119] 5-2-1-6-21-2-0-8-0-0
[120] 3-3-1-41-24-6-0-3-0-0
[121] 4-3-3-28-17-6-0-7-0-2
[122] 4-3-1-24-28-6-1-7-0-0
[123] 3-0-0-19-19-3-0-10-0-0
[124] 4-3-3-10-22-2-1-0-0-0
[125] 5-1-1-9-9-6-0-13-0-0
[126] 4-2-1-26-23-2-0-4-0-0
[127] 0-0-1-8-19-0-0-14-2-0
[128] 3-3-0-3-19-0-0-9-2-0
[129] 6-3-3-26-23-5-0-5-0-0
[130] 6-2-0-2-7-3-0-14-0-0
[131] 5-2-0-3-15-7-0-20-0-0
[132] 5-3-0-20-23-9-0-11-0-0
[133] 0-0-1-29-25-8-0-3-0-0
[134] 5-3-1-22-18-0-0-0-1-0
[135] 6-3-1-15-10-3-0-10-0-0
[136] 3-1-0-43-23-9-0-7-0-0
[137] 0-2-0-20-18-0-0-5-1-0
[138] 3-2-0-35-21-10-0-6-0-0
[139] 0-3-3-17-9-3-0-14-0-0
[140] 5-2-0-21-4-11-0-8-0-0
[141] 5-2-3-30-28-5-0-8-0-0
[142] 4-2-0-31-14-1-0-8-0-0
[143] 5-2-0-27-15-11-0-11-0-0
[144] 3-0-3-5-10-5-0-3-0-0
[145] 3-0-3-18-20-10-0-8-0-0
[146] 0-3-0-18-22-2-0-0-0-0
[147] 5-2-3-36-10-2-1-13-0-0
[148] 5-0-3-35-6-9-0-15-0-0
[149] 6-2-3-28-7-2-0-0-0-0
[150] 3-0-1-14-27-9-0-2-0-0
[151] 6-3-3-30-1-7-0-8-0-0
[152] 6-3-0-34-20-2-0-13-0-0
[153] 3-2-3-28-4-1-0-7-0-0
[154] 6-0-0-21-24-5-0-11-0-0
[155] 4-3-0-20-11-2-0-4-0-0
[156] 4-1-1-14-14-8-0-15-0-0
[157] 4-0-1-1-16-1-0-2-0-0
[158] 3-3-0-12-18-7-0-2-0-0
[159] 3-3-3-19-3-9-0-9-0-2
[160] 0-0-3-17-13-2-0-11-0-0
[161] 5-3-1-25-27-8-0-3-0-0
[162] 6-2-0-4-16-1-0-2-0-0
[163] 3-0-0-38-23-10-0-2-0-0
[164] 3-0-0-25-4-9-0-3-0-0
[165] 6-3-1-18-10-7-0-13-0-0
[166] 0-1-0-10-21-6-0-13-0-0
[167] 3-0-0-5-15-5-0-3-0-0
[168] 6-3-1-8-19-7-0-3-0-0
[169] 0-1-0-17-7-8-0-5-0-0
[170] 5-2-3-25-15-10-0-12-0-0
[171] 4-2-3-8-21-6-0-5-0-0
[172] 5-0-0-20-23-5-0-15-0-0
[173] 6-0-0-10-13-3-0-10-0-0
[174] 4-3-0-18-19-0-0-9-2-0
[175] 0-2-3-29-4-1-0-7-0-0
[176] 5-2-3-22-0-9-0-0-0-0
[177] 3-0-1-18-9-8-0-9-0-0
[178] 3-2-3-13-24-6-0-12-0-0
[179] 6-3-3-0-27-1-0-11-0-0
[180] 6-3-0-8-10-2-0-2-0-0
[181] 0-2-1-42-14-11-0-0-0-0
[182] 5-0-0-27-24-1-0-0-0-0
[183] 5-3-3-24-18-0-0-8-1-0
[184] 3-3-3-11-7-7-0-10-0-0
[185] 5-2-3-31-25-10-0-1-0-0
[186] 5-1-1-21-9-6-0-7-0-0
[187] 6-0-1-9-5-10-0-5-0-0
[188] 5-0-1-5-16-5-0-10-0-0
[189] 4-2-3-44-5-9-0-6-0-0
[190] 3-0-0-18-8-2-0-10-0-0
[191] 5-2-0-1-8-1-0-2-0-0
[192] 3-0-0-5-7-3-0-4-0-0
[193] 3-0-3-20-20-1-0-12-0-0
[194] 3-0-3-7-25-5-0-0-0-0
[195] 0-3-0-6-18-0-0-0-1-0
[196] 5-2-0-26-9-7-0-7-0-0
[197] 6-1-1-47-23-3-0-16-0-0
[198] 0-0-0-14-17-3-0-4-0-0
[199] 5-1-0-17-20-6-0-17-0-0
[200] 4-2-3-7-20-6-0-7-0-0
[201] 5-0-0-29-1-8-0-20-0-0
[202] 0-0-3-22-28-3-0-7-0-0
[203] 4-0-3-29-27-11-0-6-0-1
[204] 5-2-1-41-10-9-0-3-0-0
[205] 5-0-0-12-18-0-0-16-1-0
[206] 6-3-1-23-14-10-0-7-0-0
[207] 0-0-0-13-17-1-0-9-0-0
[208] 4-3-3-29-24-2-1-0-0-0
[209] 4-3-3-13-4-1-0-0-0-0
[210] 4-2-1-6-4-1-0-0-0-0
[211] 4-0-1-9-11-1-0-15-0-0
[212] 4-2-1-47-22-7-0-8-0-0
[213] 6-2-0-37-6-3-0-8-0-0
[214] 6-2-0-23-16-11-0-5-0-0
[215] 0-0-3-15-16-9-0-4-0-0
[216] 3-0-0-25-10-1-0-2-0-0
[217] 0-2-3-6-8-7-0-5-0-0
[218] 4-0-3-16-6-3-1-3-0-0
[219] 3-0-0-40-19-0-0-9-2-0
[220] 6-2-3-3-11-3-0-0-0-0
[221] 5-3-3-9-9-1-0-0-0-0
[222] 3-0-1-21-22-9-0-10-0-0
[223] 3-0-3-16-0-1-0-0-0-0
[224] 4-3-1-24-8-2-0-2-0-0
[225] 6-3-0-4-6-9-0-14-0-0
[226] 0-0-0-3-26-11-0-0-0-0
[227] 3-2-0-9-18-0-0-6-1-0
[228] 5-0-1-28-8-7-0-5-0-0
[229] 3-2-0-11-23-8-0-5-0-0
[230] 6-3-3-23-28-10-0-4-0-0
[231] 6-2-3-22-27-11-0-0-0-0
[232] 3-3-1-4-18-0-0-8-1-0
[233] 4-2-0-12-24-2-0-2-0-0
[234] 6-0-0-3-4-9-0-0-0-0
[235] 6-3-0-23-5-3-0-5-0-0
[236] 3-0-1-10-20-3-0-3-0-0
[237] 0-2-3-29-22-5-0-6-0-0
[238] 4-1-0-19-28-8-0-9-0-0
[239] 0-1-1-12-21-1-0-2-0-0
[240] 4-2-0-1-24-3-0-0-0-0
[241] 6-0-1-15-25-5-0-13-0-0
[242] 5-0-0-31-6-7-0-12-0-0
[243] 4-2-3-1-6-7-0-4-0-0
[244] 0-0-0-13-13-1-0-4-0-0
[245] 0-1-1-3-5-9-0-17-0-0
[246] 4-0-3-9-22-1-0-7-0-0
[247] 4-3-1-13-9-7-0-10-0-0
[248] 0-2-0-1-15-6-1-11-0-0
[249] 5-2-3-1-22-3-0-13-0-0
[250] 3-0-1-38-7-2-0-9-0-0
[251] 0-3-3-10-3-9-0-0-0-0
[252] 4-0-0-3-7-1-0-13-0-0
[253] 0-0-3-23-24-1-0-0-0-0
[254] 4-1-0-3-10-9-0-13-0-0
[255] 4-3-3-24-4-1-0-3-0-0
[256] 5-3-0-13-22-9-0-12-0-0
[257] 4-0-0-2-28-2-0-9-0-0
[258] 4-0-3-15-13-9-0-3-0-0
[259] 0-0-1-2-1-10-0-6-0-0
[260] 4-3-1-15-9-2-0-8-0-0
[261] 6-3-1-2-9-10-0-12-0-0
[262] 5-2-1-25-20-1-0-12-0-0
[263] 6-3-1-18-16-10-0-11-0-0
[264] 0-3-3-13-23-8-0-6-0-0
[265] 6-1-3-11-20-5-0-1-0-0
[266] 3-0-3-11-25-6-0-13-0-0
[267] 4-2-1-20-15-9-0-8-0-0
[268] 4-2-1-24-9-7-0-8-0-0
[269] 5-2-0-18-5-9-0-13-0-0
[270] 6-0-1-26-9-11-0-17-0-0
[271] 6-2-1-3-4-7-0-0-0-0
[272] 5-2-0-7-17-1-0-12-0-0
[273] 6-3-0-1-19-0-0-5-2-0
[274] 4-0-3-15-27-2-0-2-0-0
[275] 6-0-1-36-7-9-0-16-0-0
[276] 6-2-3-31-20-8-0-7-0-0
[277] 6-2-0-1-11-7-0-11-0-0
[278] 6-2-1-17-1-8-0-0-0-0
[279] 0-3-3-39-10-3-0-10-0-0
[280] 5-3-1-15-22-9-0-5-0-0
[281] 5-0-3-10-19-0-0-6-2-0
[282] 5-2-1-4-14-8-0-13-0-0
[283] 3-2-1-6-3-9-0-0-0-0
[284] 4-3-0-2-21-1-0-3-0-0
[285] 4-1-1-19-9-1-0-15-0-0
[286] 6-1-3-38-6-7-0-15-0-0
[287] 5-0-0-30-9-1-0-10-0-0
[288] 4-1-1-6-3-8-0-12-0-0
[289] 5-0-0-24-20-6-0-10-0-0
[290] 4-2-1-19-9-3-0-12-0-0
[291] 6-0-3-5-4-2-0-6-0-0
[292] 4-2-1-17-14-3-0-0-0-0
[293] 0-2-0-22-24-1-0-7-0-0
[294] 3-2-3-11-18-2-0-2-0-0
[295] 3-0-1-23-15-1-0-11-0-0
[296] 3-2-3-24-13-11-0-5-0-0
[297] 5-3-0-25-10-2-0-4-0-0
[298] 5-1-3-10-19-0-0-6-2-0
[299] 5-0-3-21-5-5-0-10-0-0
[300] 0-0-1-1-21-10-0-11-0-0
[301] 5-0-3-47-21-8-0-2-0-0
[302] 0-3-0-10-21-5-0-13-0-0
[303] 5-3-0-7-4-8-0-3-0-0
[304] 5-3-1-20-27-5-0-1-0-0
[305] 0-1-0-25-16-8-0-3-0-0
[306] 4-0-1-37-28-10-0-14-0-0
[307] 3-0-0-37-3-7-0-3-0-0
[308] 3-3-1-8-9-3-0-3-0-0
[309] 5-3-0-43-0-5-0-11-0-0
[310] 4-1-0-5-20-3-0-4-0-0
[311] 0-0-1-7-15-8-0-7-0-0
[312] 3-1-1-17-21-7-0-2-0-0
[313] 0-2-3-16-20-7-0-10-0-0
[314] 4-2-3-27-24-1-0-0-0-0
[315] 6-0-0-22-26-8-0-3-0-0
[316] 6-2-0-34-4-6-0-0-0-2
[317] 3-3-1-47-18-9-0-1-0-0
[318] 4-2-0-26-2-9-0-8-0-0
[319] 3-0-1-23-5-7-0-10-0-0
[320] 4-0-0-8-13-7-0-2-0-0
[321] 0-2-3-9-5-10-0-5-0-0
[322] 6-0-3-20-15-2-0-5-0-0
[323] 6-1-3-3-14-1-0-4-0-0
[324] 5-0-1-6-2-8-0-0-0-0
[325] 0-0-0-0-18-0-0-14-1-0
[326] 4-3-1-2-22-3-0-3-0-0
[327] 5-2-0-15-7-3-0-0-0-0
[328] 6-2-3-25-25-2-0-7-0-0
[329] 4-0-1-15-27-8-0-13-0-0
[330] 3-0-1-25-15-5-0-13-0-0
[331] 4-3-3-26-17-8-0-12-0-0
[332] 6-3-3-14-20-7-0-0-0-0
[333] 6-3-1-18-15-9-0-14-0-0
[334] 6-1-1-13-13-3-0-5-0-0
[335] 3-3-0-8-15-9-0-7-0-0
[336] 6-2-0-36-15-2-0-6-0-0
[337] 0-0-1-18-23-11-0-11-0-1
[338] 6-0-1-47-18-0-0-14-1-0
[339] 5-2-3-47-27-10-0-0-0-0
[340] 4-3-0-5-16-10-0-5-0-0
[341] 0-2-0-35-10-11-0-4-0-0
[342] 0-3-0-11-1-2-0-0-0-0
[343] 4-0-1-11-10-2-0-1-0-0
[344] 6-3-3-44-27-7-0-8-0-0
[345] 0-0-1-29-9-2-0-3-0-0
[346] 5-2-0-7-17-8-0-3-0-0
[347] 3-2-1-47-11-6-0-0-0-0
[348] 0-3-0-0-8-5-0-4-0-0
[349] 0-0-0-7-23-1-0-15-0-0
[350] 4-3-1-27-1-9-0-3-0-0
[351] 5-2-0-26-9-3-0-11-0-0
[352] 3-0-0-19-11-2-0-2-0-0
[353] 0-3-0-29-24-1-0-0-0-0
[354] 6-3-1-36-0-3-0-12-0-0
[355] 0-1-0-35-19-0-0-12-2-0
[356] 5-2-0-16-11-2-0-8-0-0
[357] 4-3-0-15-17-3-0-12-0-0
[358] 0-0-0-46-5-6-0-11-0-0
[359] 4-0-0-29-24-9-0-20-0-0
[360] 6-0-3-20-7-3-0-2-0-0
[361] 6-2-0-19-20-8-0-11-0-0
[362] 0-1-3-23-17-2-0-4-0-0
[363] 4-2-0-6-0-1-0-7-0-0
[364] 4-0-0-16-17-10-0-4-0-0
[365] 6-0-3-18-23-7-0-4-0-0
[366] 5-0-1-31-20-9-0-6-0-0
[367] 6-0-0-13-9-1-0-11-0-0
[368] 4-2-3-15-8-5-0-7-0-0
[369] 4-3-3-22-24-2-0-11-0-0
[370] 3-0-0-17-8-6-0-11-0-0
[371] 0-1-1-12-27-5-1-11-0-0
[372] 3-3-3-13-4-3-0-7-0-0
[373] 0-1-1-5-24-9-0-0-0-0
[374] 0-0-3-34-27-9-0-1-0-0
[375] 5-0-3-43-20-1-0-10-0-0
[376] 3-1-0-22-20-9-0-6-0-0
[377] 5-3-0-20-28-2-0-0-0-0
[378] 5-3-3-27-8-1-0-0-0-0
[379] 0-2-0-27-15-1-0-11-0-0
[380] 0-0-0-12-9-5-0-5-0-0
[381] 5-2-3-31-13-3-0-0-0-0
[382] 5-3-1-11-23-11-0-10-0-0
[383] 4-1-3-1-8-8-0-14-0-0
[384] 0-2-0-22-6-5-0-13-0-0
[385] 5-0-1-1-10-3-0-17-0-0
[386] 6-3-1-20-21-9-0-0-0-0
[387] 5-3-1-11-4-6-0-0-0-0
[388] 5-0-3-14-28-10-0-7-0-0
[389] 0-0-0-13-1-6-0-0-0-0
[390] 3-0-0-19-17-1-0-4-0-0
[391] 4-0-3-22-10-1-0-6-0-0
[392] 6-0-1-23-2-7-0-6-0-0
[393] 6-1-3-34-22-10-0-10-0-0
[394] 4-3-3-37-8-2-0-6-0-0
[395] 6-0-3-20-3-11-0-8-0-0
[396] 0-0-0-10-5-6-0-15-0-0
[397] 4-3-3-29-16-9-0-8-0-0
[398] 4-2-0-8-14-6-0-4-0-0
[399] 5-2-0-14-21-2-0-7-0-0
[400] 0-0-0-12-4-3-1-0-0-0
[401] 6-0-0-9-4-7-0-6-0-0
[402] 3-0-1-9-1-3-0-8-0-0
[403] 6-0-3-13-18-0-0-6-1-0
[404] 3-0-1-18-20-9-1-5-0-0
[405] 5-3-1-42-7-7-0-7-0-0
[406] 0-2-1-42-23-6-0-4-0-0
[407] 4-3-0-14-24-9-0-0-0-0
[408] 3-0-1-2-0-3-0-0-0-0
[409] 3-0-3-5-5-8-0-7-0-0
[410] 0-1-0-16-8-3-0-5-0-0
[411] 3-2-1-12-22-9-0-14-0-0
[412] 4-3-1-11-27-7-0-13-0-0
[413] 5-0-3-41-5-11-0-14-0-0
[414] 4-3-0-31-28-6-0-3-0-0
[415] 3-0-1-47-28-2-0-16-0-0
[416] 5-0-3-40-6-8-0-8-0-0
[417] 4-0-3-39-3-9-0-0-0-0
[418] 0-2-1-2-5-6-0-5-0-0
[419] 3-0-3-26-9-8-0-16-0-0
[420] 0-2-3-0-14-8-0-6-0-0
[421] 4-2-1-17-3-11-0-6-0-0
[422] 0-3-3-43-18-0-0-14-1-0
[423] 5-0-3-11-21-11-0-15-0-0
[424] 6-3-3-15-11-5-0-10-0-0
[425] 0-1-0-31-8-1-0-1-0-0
[426] 4-1-1-1-4-11-0-12-0-0
[427] 0-2-1-0-5-5-0-8-0-0
[428] 4-0-0-0-6-3-0-15-0-0
[429] 5-0-1-4-22-1-0-7-0-0
[430] 4-1-0-21-25-7-0-2-0-0
[431] 5-3-1-16-16-7-0-9-0-0
[432] 0-0-0-9-3-3-0-3-0-0
[433] 4-0-1-1-5-5-0-15-0-0
[434] 0-0-1-1-23-3-0-7-0-0
[435] 4-2-0-22-28-11-0-10-0-0
[436] 6-3-0-1-25-1-0-0-0-0
[437] 5-2-1-15-27-3-0-0-0-0
[438] 5-2-1-26-0-9-0-0-0-0
[439] 0-0-0-26-21-8-0-6-0-0
[440] 6-1-0-12-18-0-0-6-1-0
[441] 5-3-1-26-0-2-0-0-0-0
[442] 5-0-1-11-22-5-0-15-0-0
[443] 3-0-3-31-16-8-0-7-0-0
[444] 0-0-0-28-19-0-0-4-2-0
[445] 6-0-1-7-6-2-0-7-0-0
[446] 4-1-1-15-16-5-0-15-0-0
[447] 0-0-1-9-23-3-0-9-0-0
[448] 5-0-0-37-1-2-0-0-0-0
[449] 5-3-3-20-15-9-0-14-0-0
[450] 5-2-0-35-17-8-0-6-0-0
[451] 3-1-1-14-14-1-0-4-0-0
[452] 3-3-3-3-7-8-0-12-0-0
[453] 4-3-3-24-23-7-0-11-0-0
[454] 3-3-3-1-6-8-0-5-0-0
[455] 6-0-3-29-4-10-0-8-0-0
[456] 4-0-0-39-14-2-0-13-0-0
[457] 0-0-0-19-27-3-0-6-0-0
[458] 4-0-0-11-5-9-0-7-0-0
[459] 3-0-0-3-11-11-0-14-0-0
[460] 6-0-0-0-20-8-0-12-0-0
[461] 5-3-3-12-23-3-0-5-0-0
[462] 5-3-0-7-5-2-0-6-0-0
[463] 4-0-0-2-17-5-0-1-0-0
[464] 6-2-1-20-21-10-0-0-0-0
[465] 3-2-0-13-16-10-0-0-0-1
[466] 6-0-0-40-25-6-0-0-0-0
[467] 3-0-0-5-6-8-0-15-0-0
[468] 3-3-1-38-14-8-0-0-0-0
[469] 6-2-0-16-13-6-0-4-0-0
[470] 4-2-3-30-23-6-0-4-0-0
[471] 5-0-3-36-10-5-0-3-0-0
[472] 3-3-0-0-19-6-0-1-0-0
[473] 0-3-3-21-19-3-0-2-0-0
[474] 0-0-0-20-6-9-0-2-0-0
[475] 4-0-1-18-24-9-0-0-0-0
[476] 0-3-3-0-24-3-0-0-0-0
[477] 6-2-3-43-8-2-0-9-0-0
[478] 4-0-3-16-11-7-0-4-0-0
[479] 0-3-1-22-8-9-0-14-0-0
[480] 0-0-3-21-10-8-0-5-0-0
[481] 0-0-0-36-22-10-0-2-0-0
[482] 6-2-3-4-24-6-0-2-0-0
[483] 4-0-1-6-20-3-0-11-0-0
[484] 6-0-1-17-24-1-0-3-0-0
[485] 0-0-1-0-1-8-0-9-0-0
[486] 5-0-1-30-5-2-0-13-0-0
[487] 6-0-0-26-20-6-0-8-0-0
[488] 4-0-0-11-22-11-0-13-0-0
[489] 4-3-3-9-10-2-0-14-0-0
[490] 5-3-1-28-4-5-1-0-0-0
[491] 0-2-0-25-14-5-0-10-0-0
[492] 5-0-3-9-14-10-0-3-0-0
[493] 5-2-1-6-11-3-0-3-0-0
[494] 0-3-3-41-26-8-1-20-0-0
[495] 0-0-0-8-5-6-0-9-0-0
[496] 4-2-1-0-25-5-0-6-0-0
[497] 0-0-0-21-17-10-0-14-0-0
[498] 3-2-0-25-23-3-1-9-0-0
[499] 6-0-3-19-5-2-0-12-0-0
[500] 0-3-3-22-22-3-0-6-0-0
[501] 4-3-3-34-6-6-0-2-0-0
[502] 0-0-0-11-8-1-0-3-0-0
[503] 0-0-3-7-6-6-0-4-0-0
[504] 4-0-0-23-4-6-0-8-0-0
[505] 3-0-3-1-3-7-0-0-0-1
[506] 6-0-1-40-28-2-0-13-0-0
[507] 3-1-3-35-1-1-0-0-0-0
[508] 0-0-1-18-9-2-0-9-0-0
[509] 3-0-3-35-10-3-0-4-0-0
[510] 3-3-1-4-11-1-0-8-0-0
[511] 3-3-1-19-22-10-0-12-0-0
[512] 3-0-1-35-15-3-0-16-0-0
[513] 5-2-1-3-7-11-0-3-0-0
[514] 4-2-0-25-0-1-0-9-0-0
[515] 5-1-0-15-9-3-0-2-0-0
[516] 4-0-3-17-9-2-0-12-0-0
[517] 0-2-0-11-13-2-0-0-0-0
[518] 4-1-1-44-16-8-0-5-0-0
[519] 4-3-3-2-6-11-0-0-0-0
[520] 6-0-3-14-8-10-0-4-0-0
[521] 0-2-3-21-11-8-0-3-0-0
[522] 6-0-3-11-4-1-0-0-0-0
[523] 0-0-0-9-11-6-0-10-0-0
[524] 4-3-3-42-17-9-0-9-0-0
[525] 3-1-0-10-0-10-0-6-0-0
[526] 4-0-3-12-19-3-0-13-0-0
[527] 3-3-0-2-3-5-0-0-0-0
[528] 3-2-3-29-4-1-0-0-0-0
[529] 3-0-3-7-21-6-0-8-0-0
[530] 6-3-1-35-7-1-0-3-0-0
[531] 0-0-3-22-5-7-0-13-0-0
[532] 6-1-1-0-24-11-0-9-0-0
[533] 5-0-0-26-28-9-0-9-0-0
[534] 5-0-0-7-4-6-0-2-0-0
[535] 0-0-3-10-10-5-0-9-0-0
[536] 0-3-0-46-13-1-0-3-0-0
[537] 6-2-0-18-6-7-0-2-0-0
[538] 5-0-1-29-8-6-0-20-0-0
[539] 6-3-1-24-2-7-0-8-0-0
[540] 6-0-0-8-5-1-0-4-0-0
[541] 4-3-0-10-24-2-0-0-0-0
[542] 0-0-3-10-19-0-0-16-2-0
[543] 0-0-0-42-8-5-0-9-0-0
[544] 0-3-1-34-18-0-0-11-1-0
[545] 4-0-3-29-7-11-0-15-0-0
[546] 6-3-1-5-6-6-0-0-0-0
[547] 4-0-1-4-19-0-0-14-2-0
[548] 0-3-1-22-26-6-0-0-0-0
[549] 4-0-0-42-13-3-0-11-0-0
[550] 4-2-3-14-9-7-0-20-0-0
[551] 5-3-0-18-17-7-0-0-0-0
[552] 4-2-1-2-15-10-0-12-0-0
[553] 4-0-1-31-6-2-0-5-0-0
[554] 4-2-1-31-21-8-0-12-0-0
[555] 5-1-1-28-24-11-0-0-0-0
[556] 3-0-3-28-16-1-0-15-0-0
[557] 3-0-1-2-6-5-0-16-0-0
[558] 0-2-0-26-20-1-0-13-0-0
[559] 6-3-3-25-1-7-0-8-0-0
[560] 6-0-3-23-6-1-0-11-0-0
[561] 5-0-1-27-20-6-0-4-0-0
[562] 0-3-3-21-15-10-0-2-0-0
[563] 6-0-1-30-27-11-0-0-0-0
[564] 0-0-0-23-21-9-0-10-0-0
[565] 4-0-1-15-15-8-0-11-0-0
[566] 5-0-0-31-16-3-0-4-0-0
[567] 6-1-0-22-24-8-0-0-0-0
[568] 6-2-0-10-15-6-0-5-0-0
[569] 3-1-3-28-10-2-0-7-0-2
[570] 3-0-3-1-24-8-0-7-0-0
[571] 0-1-3-9-16-7-0-17-0-0
[572] 3-1-3-2-22-6-0-17-0-0
[573] 3-3-0-21-11-2-0-11-0-0
[574] 4-2-1-25-18-0-0-14-1-0
[575] 4-1-0-17-14-3-0-1-0-0
[576] 5-3-1-46-9-8-0-6-0-0
[577] 5-2-3-17-21-5-0-5-0-0
[578] 3-0-1-21-24-6-0-0-0-0
[579] 0-0-1-30-21-2-0-10-0-0
[580] 3-0-3-3-15-11-0-4-0-0
[581] 0-0-1-13-1-1-0-0-0-0
